layer,entropy_model1,entropy_model2,delta_entropy,frobenius_norm_diff,svd_model1,svd_model2,delta_svd
model.layers.28.self_attn.q_proj.weight,2.8048,2.8048,0.0,0.7603,"[12.76480484008789, 6.8434648513793945, 5.894511699676514, 5.491533279418945, 5.441808700561523]","[12.76785945892334, 6.844803333282471, 5.894693374633789, 5.490568161010742, 5.439569473266602]","[-0.0030546188354492188, -0.0013384819030761719, -0.00018167495727539062, 0.000965118408203125, 0.002239227294921875]"
model.layers.28.self_attn.v_proj.weight,4.2674,4.1777,0.0897,15.4518,"[3.308100938796997, 2.8435895442962646, 2.8317060470581055, 2.746800422668457, 2.721924304962158]","[3.6919076442718506, 3.1678757667541504, 3.154440402984619, 3.0594990253448486, 3.034687042236328]","[-0.3838067054748535, -0.32428622245788574, -0.32273435592651367, -0.3126986026763916, -0.3127627372741699]"
model.layers.29.mlp.down_proj.weight,2.5255,2.6057,-0.0802,24.4793,"[3.9385435581207275, 3.8811538219451904, 3.8079397678375244, 3.7320334911346436, 3.695789098739624]","[4.425778865814209, 4.37374210357666, 4.255818843841553, 4.212619781494141, 4.14732551574707]","[-0.48723530769348145, -0.4925882816314697, -0.4478790760040283, -0.48058629035949707, -0.4515364170074463]"
model.layers.29.mlp.up_proj.weight,3.0985,2.9538,0.1447,23.6665,"[10.237593650817871, 6.517863750457764, 4.890824794769287, 4.486480236053467, 4.408692359924316]","[11.307735443115234, 7.054968357086182, 5.438374042510986, 5.013462543487549, 4.923252105712891]","[-1.0701417922973633, -0.537104606628418, -0.5475492477416992, -0.526982307434082, -0.5145597457885742]"
model.layers.29.self_attn.k_proj.weight,3.4814,3.4814,0.0,0.7758,"[14.174028396606445, 6.842597961425781, 6.333616256713867, 6.172178268432617, 5.8518195152282715]","[14.180398941040039, 6.843919277191162, 6.334105014801025, 6.172571659088135, 5.853843688964844]","[-0.00637054443359375, -0.0013213157653808594, -0.0004887580871582031, -0.0003933906555175781, -0.0020241737365722656]"
model.layers.29.self_attn.o_proj.weight,3.0162,2.8803,0.1359,14.172,"[6.545640468597412, 3.780278444290161, 3.7225215435028076, 3.441274881362915, 3.2109594345092773]","[6.856410026550293, 4.110736846923828, 4.048551082611084, 3.753875970840454, 3.475402355194092]","[-0.31076955795288086, -0.330458402633667, -0.32602953910827637, -0.31260108947753906, -0.26444292068481445]"
model.layers.29.self_attn.q_proj.weight,2.6678,2.6678,-0.0,0.7761,"[13.27794075012207, 7.748456001281738, 7.124792098999023, 6.679327487945557, 6.223304271697998]","[13.283495903015137, 7.752747535705566, 7.124421119689941, 6.678736209869385, 6.223133087158203]","[-0.005555152893066406, -0.004291534423828125, 0.00037097930908203125, 0.000591278076171875, 0.00017118453979492188]"
model.layers.29.self_attn.v_proj.weight,4.5009,4.4405,0.0604,15.533,"[4.257026195526123, 3.023820638656616, 2.9214985370635986, 2.8981924057006836, 2.8545312881469727]","[4.772663593292236, 3.3667964935302734, 3.2628402709960938, 3.2358953952789307, 3.1826741695404053]","[-0.5156373977661133, -0.3429758548736572, -0.3413417339324951, -0.33770298957824707, -0.3281428813934326]"
model.layers.30.mlp.down_proj.weight,2.0625,2.1431,-0.0807,24.9188,"[4.09161901473999, 3.9595861434936523, 3.8514339923858643, 3.7969419956207275, 3.7322802543640137]","[4.523589134216309, 4.440859794616699, 4.36545991897583, 4.252890586853027, 4.178102970123291]","[-0.43197011947631836, -0.4812736511230469, -0.5140259265899658, -0.4559485912322998, -0.44582271575927734]"
model.layers.30.mlp.up_proj.weight,2.7551,2.623,0.1321,23.8857,"[18.518997192382812, 11.854193687438965, 6.137296676635742, 5.597964286804199, 5.158438682556152]","[19.936725616455078, 13.044662475585938, 6.810815334320068, 6.232558250427246, 5.762105941772461]","[-1.4177284240722656, -1.1904687881469727, -0.6735186576843262, -0.6345939636230469, -0.6036672592163086]"
