layer,entropy_model1,entropy_model2,delta_entropy,frobenius_norm_diff,svd_model1,svd_model2,delta_svd
model.layers.30.self_attn.v_proj.weight,3.1031,3.1676,-0.0644,18.4325,"[3.2421035766601562, 2.975346326828003, 2.6873831748962402, 2.6405324935913086, 2.6161298751831055]","[3.746246576309204, 3.428694009780884, 3.098160982131958, 3.017002820968628, 3.001616954803467]","[-0.5041429996490479, -0.45334768295288086, -0.4107778072357178, -0.37647032737731934, -0.38548707962036133]"
model.layers.30.self_attn.o_proj.weight,3.3324,2.9674,0.3651,15.7883,"[6.110808372497559, 3.7489380836486816, 3.6563143730163574, 2.9140548706054688, 2.8855607509613037]","[6.8602495193481445, 4.195065021514893, 4.039863109588623, 3.2160000801086426, 3.1781084537506104]","[-0.7494411468505859, -0.44612693786621094, -0.3835487365722656, -0.30194520950317383, -0.29254770278930664]"
model.layers.30.mlp.up_proj.weight,2.5661,2.623,-0.0569,28.0102,"[17.19382667541504, 11.350068092346191, 5.931299686431885, 5.4101762771606445, 4.996675491333008]","[19.936725616455078, 13.044662475585938, 6.810815334320068, 6.232558250427246, 5.762105941772461]","[-2.742898941040039, -1.694594383239746, -0.8795156478881836, -0.8223819732666016, -0.7654304504394531]"
model.layers.30.mlp.down_proj.weight,2.0528,2.1431,-0.0903,25.9878,"[4.032887935638428, 3.8883919715881348, 3.804640054702759, 3.749673366546631, 3.695758819580078]","[4.523589134216309, 4.440859794616699, 4.36545991897583, 4.252890586853027, 4.178102970123291]","[-0.49070119857788086, -0.5524678230285645, -0.5608198642730713, -0.5032172203063965, -0.4823441505432129]"
model.layers.31.self_attn.q_proj.weight,3.049,3.049,0.0,0.5217,"[15.029072761535645, 8.389188766479492, 7.6510910987854, 7.418144702911377, 7.205345630645752]","[15.025938987731934, 8.390928268432617, 7.652870178222656, 7.420168399810791, 7.206326484680176]","[0.0031337738037109375, -0.001739501953125, -0.0017790794372558594, -0.0020236968994140625, -0.0009808540344238281]"
model.layers.31.self_attn.k_proj.weight,3.3816,3.3816,0.0,0.5308,"[16.385196685791016, 8.346023559570312, 8.173274993896484, 7.570528030395508, 7.155697345733643]","[16.384124755859375, 8.344411849975586, 8.169801712036133, 7.5712385177612305, 7.156868934631348]","[0.001071929931640625, 0.0016117095947265625, 0.0034732818603515625, -0.0007104873657226562, -0.0011715888977050781]"
model.layers.31.self_attn.v_proj.weight,3.2204,3.2615,-0.0412,16.729,"[3.4715027809143066, 3.3483715057373047, 3.1107168197631836, 2.8481762409210205, 2.8270342350006104]","[4.009765625, 3.8499104976654053, 3.5764970779418945, 3.276116132736206, 3.2490792274475098]","[-0.5382628440856934, -0.5015389919281006, -0.46578025817871094, -0.42793989181518555, -0.4220449924468994]"
model.layers.31.self_attn.o_proj.weight,2.2652,2.0635,0.2016,15.0706,"[9.329232215881348, 5.9442596435546875, 5.020537376403809, 4.909418106079102, 3.8482279777526855]","[10.568909645080566, 6.714575290679932, 5.546021461486816, 5.457415580749512, 4.308050155639648]","[-1.2396774291992188, -0.7703156471252441, -0.5254840850830078, -0.5479974746704102, -0.4598221778869629]"
model.layers.31.mlp.up_proj.weight,2.6488,2.7779,-0.1291,28.7707,"[17.586280822753906, 11.234138488769531, 9.044625282287598, 7.537113189697266, 6.995940208435059]","[19.94043731689453, 12.796332359313965, 10.364392280578613, 8.58923625946045, 8.057920455932617]","[-2.354156494140625, -1.5621938705444336, -1.3197669982910156, -1.0521230697631836, -1.0619802474975586]"
model.layers.31.mlp.down_proj.weight,1.8314,1.847,-0.0156,24.9066,"[6.949772834777832, 5.890560150146484, 5.4143967628479, 5.2470197677612305, 4.794754981994629]","[7.831622123718262, 6.505268573760986, 6.020726680755615, 5.859059810638428, 5.391216278076172]","[-0.8818492889404297, -0.614708423614502, -0.6063299179077148, -0.6120400428771973, -0.596461296081543]"
